sov_line_id,description,scheduled_value,previous_billed,this_period,total_billed,pct_complete,balance_to_finish,project_id,application_number
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,0,268500,268500,13.0,1795700,PRJ-2024-001,2
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,0,96300,96300,13.0,644500,PRJ-2024-001,2
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,0,323200,323200,10.7,2701100,PRJ-2024-001,2
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,0,436900,436900,10.4,3765100,PRJ-2024-001,2
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,0,335400,335400,9.7,3134000,PRJ-2024-001,2
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,0,221600,221600,10.6,1860400,PRJ-2024-001,2
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,0,587900,587900,10.7,4900900,PRJ-2024-001,2
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,0,395600,395600,11.1,3166000,PRJ-2024-001,2
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,0,279500,279500,10.6,2360900,PRJ-2024-001,2
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,268500,297200,565700,27.4,1498500,PRJ-2024-001,3
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,96300,113800,210100,28.4,530700,PRJ-2024-001,3
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,323200,333700,656900,21.7,2367400,PRJ-2024-001,3
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,436900,482000,918900,21.9,3283100,PRJ-2024-001,3
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,335400,409400,744800,21.5,2724600,PRJ-2024-001,3
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,221600,232300,453900,21.8,1628100,PRJ-2024-001,3
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,587900,626200,1214100,22.1,4274700,PRJ-2024-001,3
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,395600,369400,765000,21.5,2796600,PRJ-2024-001,3
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,279500,294100,573600,21.7,2066800,PRJ-2024-001,3
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,0,197200,197200,8.2,2211500,PRJ-2024-001,3
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,0,129700,129700,8.1,1475000,PRJ-2024-001,3
PRJ-2024-001-SOV-12,Insulation,1868500,0,143300,143300,7.7,1725200,PRJ-2024-001,3
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,565700,261300,827000,40.1,1237200,PRJ-2024-001,4
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,210100,81700,291800,39.4,449000,PRJ-2024-001,4
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,656900,291300,948200,31.4,2076100,PRJ-2024-001,4
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,918900,387400,1306300,31.1,2895700,PRJ-2024-001,4
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,744800,305200,1050000,30.3,2419400,PRJ-2024-001,4
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,453900,204500,658400,31.6,1423600,PRJ-2024-001,4
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,1214100,463000,1677100,30.6,3811700,PRJ-2024-001,4
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,765000,333300,1098300,30.8,2463300,PRJ-2024-001,4
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,573600,248200,821800,31.1,1818600,PRJ-2024-001,4
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,197200,231200,428400,17.8,1980300,PRJ-2024-001,4
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,129700,158600,288300,18.0,1316400,PRJ-2024-001,4
PRJ-2024-001-SOV-12,Insulation,1868500,143300,198000,341300,18.3,1527200,PRJ-2024-001,4
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,0,15700,15700,2.0,769700,PRJ-2024-001,4
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,0,17300,17300,2.1,803100,PRJ-2024-001,4
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,0,9500,9500,2.2,423300,PRJ-2024-001,4
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,827000,170000,997000,48.3,1067200,PRJ-2024-001,5
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,291800,64700,356500,48.1,384300,PRJ-2024-001,5
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,948200,153100,1101300,36.4,1923000,PRJ-2024-001,5
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,1306300,247600,1553900,37.0,2648100,PRJ-2024-001,5
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,1050000,221700,1271700,36.7,2197700,PRJ-2024-001,5
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,658400,111700,770100,37.0,1311900,PRJ-2024-001,5
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,1677100,326500,2003600,36.5,3485200,PRJ-2024-001,5
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,1098300,211700,1310000,36.8,2251600,PRJ-2024-001,5
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,821800,158600,980400,37.1,1660000,PRJ-2024-001,5
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,428400,159900,588300,24.4,1820400,PRJ-2024-001,5
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,288300,121100,409400,25.5,1195300,PRJ-2024-001,5
PRJ-2024-001-SOV-12,Insulation,1868500,341300,127600,468900,25.1,1399600,PRJ-2024-001,5
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,15700,58000,73700,9.4,711700,PRJ-2024-001,5
PRJ-2024-001-SOV-14,Startup & Commissioning Support,820400,17300,58900,76200,9.3,744200,PRJ-2024-001,5
PRJ-2024-001-SOV-15,Closeout Documentation & Training,432800,9500,32600,42100,9.7,390700,PRJ-2024-001,5
PRJ-2024-001-SOV-01,General Conditions & Project Management,2064200,997000,136200,1133200,54.9,931000,PRJ-2024-001,6
PRJ-2024-001-SOV-02,Submittals & Engineering,740800,356500,51200,407700,55.0,333100,PRJ-2024-001,6
PRJ-2024-001-SOV-03,Ductwork - Fabrication,3024300,1101300,172800,1274100,42.1,1750200,PRJ-2024-001,6
PRJ-2024-001-SOV-04,Ductwork - Installation,4202000,1553900,219200,1773100,42.2,2428900,PRJ-2024-001,6
PRJ-2024-001-SOV-05,Piping - Hydronic Systems,3469400,1271700,186700,1458400,42.0,2011000,PRJ-2024-001,6
PRJ-2024-001-SOV-06,Piping - Refrigerant,2082000,770100,112700,882800,42.4,1199200,PRJ-2024-001,6
PRJ-2024-001-SOV-07,Equipment - RTUs/AHUs,5488800,2003600,332400,2336000,42.6,3152800,PRJ-2024-001,6
PRJ-2024-001-SOV-08,Equipment - Chillers/Boilers,3561600,1310000,198800,1508800,42.4,2052800,PRJ-2024-001,6
PRJ-2024-001-SOV-09,Equipment - Terminal Units (VAV/FCU),2640400,980400,134000,1114400,42.2,1526000,PRJ-2024-001,6
PRJ-2024-001-SOV-10,Controls - DDC/BAS Installation,2408700,588300,172000,760300,31.6,1648400,PRJ-2024-001,6
PRJ-2024-001-SOV-11,Controls - Programming & Commissioning,1604700,409400,98900,508300,31.7,1096400,PRJ-2024-001,6
PRJ-2024-001-SOV-12,Insulation,1868500,468900,109400,578300,30.9,1290200,PRJ-2024-001,6
PRJ-2024-001-SOV-13,"Testing, Adjusting & Balancing (TAB)",785400,73700,65800,139500,17.8,645900,PRJ-2024-001,6
