project_id,note_id,date,author,note_type,content,photos_attached,weather,temp_high,temp_low
PRJ-2024-001,e381c053,2024-03-27,R. Williams,Issue Log,Safety meeting held at start of shift - topic: fall protection. All PPE verified. Completed piping pressure test - passed.,0,Clear,72,40
PRJ-2024-001,aef6ea13,2024-03-28,K. Thompson,Safety Log,Received delivery of insulation - 37 units. Short 2 boxes - claim filed. Staged at loading dock.,0,Rain,95,69
PRJ-2024-001,de8a22e0,2024-04-01,J. Martinez,Inspection Note,Equipment startup for RTU-1. Minor vibration issue - balancing tomorrow. Punch list items: sensor calibration.,1,Cloudy,77,37
PRJ-2024-001,5c68471e,2024-04-03,J. Martinez,Inspection Note,Met with drywall foreman re: coordination. Agreed on sequence for ceiling close-in. Action items: Awaiting revised drawings,1,Cloudy,76,59
PRJ-2024-001,b38924b5,2024-04-05,J. Martinez,Issue Log,Design discrepancy encountered: field conditions don't match drawings. Resolution: Workaround implemented. Impact: cost impact TBD.,2,Rain,67,74
PRJ-2024-001,38198b89,2024-04-08,M. Chen,Daily Report,Safety meeting held at start of shift - topic: confined space entry. All PPE verified. Ran refrigerant lines to condensers.,3,Hot,95,62
PRJ-2024-001,2b9c0508,2024-04-09,K. Thompson,Safety Log,Met with drywall foreman re: coordination. Scheduled joint walkthrough Friday. Action items: Awaiting revised drawings,5,Clear,68,44
PRJ-2024-001,c935e9ef,2024-04-10,M. Chen,Coordination Note,Installed 147 pipe hangers on floor 3. Rework required grid C-4. Inspections needed: rough-in Friday.,1,Hot,83,49
PRJ-2024-001,d8e05080,2024-04-12,M. Chen,Issue Log,Received delivery of RTU - 103 units. All accounted for. Staged at floor 3 staging.,1,Cold,81,55
PRJ-2024-001,2e525d51,2024-04-15,M. Chen,Issue Log,Installed 192 diffusers on floor 3. Rework required grid C-4. Inspections needed: pressure test Monday.,5,Clear,73,57
PRJ-2024-001,e54d6685,2024-04-18,M. Chen,Safety Log,Received delivery of RTU - 16 units. Matched PO. Staged at mechanical room.,5,Cloudy,88,62
PRJ-2024-001,4100ed26,2024-04-19,K. Thompson,Daily Report,"Safety meeting held at start of shift - topic: ladder safety. All PPE verified. Set 3 VAV boxes, awaiting controls.",4,Rain,81,52
PRJ-2024-001,2878985d,2024-04-22,J. Martinez,Coordination Note,"Crew arrived 0600. Weather: Partly cloudy, 65°F. 6 workers on site. Focus today: insulation west side. Waiting on RFI response to proceed.",3,Hot,87,56
PRJ-2024-001,e544d1d7,2024-04-23,M. Chen,Daily Report,Met with fire protection foreman re: coordination. Scheduled joint walkthrough Friday. Action items: HVAC to relocate diffuser 6 inches east,3,Cold,88,70
PRJ-2024-001,0e44a2a9,2024-04-24,J. Martinez,Issue Log,Met with electrical foreman re: coordination. Scheduled joint walkthrough Friday. Action items: Awaiting revised drawings,2,Hot,75,63
PRJ-2024-001,576a7acb,2024-04-26,M. Chen,Inspection Note,Met with drywall foreman re: coordination. Scheduled joint walkthrough Friday. Action items: FP to adjust sprinkler head locations,3,Cold,90,49
PRJ-2024-001,3ef730c1,2024-04-29,K. Thompson,Coordination Note,Safety meeting held at start of shift - topic: fall protection. All PPE verified. Completed piping pressure test - passed.,1,Hot,96,67
PRJ-2024-001,6b5bd9f3,2024-05-01,M. Chen,Inspection Note,TAB contractor on site - balancing FCU loop. Initial readings: all zones balanced. Adjustments: VFD reprogramming.,2,Clear,93,74
PRJ-2024-001,62e08eb3,2024-05-03,J. Martinez,Daily Report,Met with drywall foreman re: coordination. Scheduled joint walkthrough Friday. Action items: Awaiting revised drawings,2,Hot,95,72
PRJ-2024-001,0712eed5,2024-05-06,M. Chen,Issue Log,Installed 12 pipe hangers on floor 3. Rework required grid C-4. Inspections needed: pressure test Monday.,0,Rain,79,50
PRJ-2024-001,cd981479,2024-05-13,M. Chen,Daily Report,"GC weekly meeting - discussed change orders, RFI backlog, coordination. Schedule status: 3 days behind. RFIs pending: 6.",2,Clear,92,36
PRJ-2024-001,b745b6ab,2024-05-14,K. Thompson,Coordination Note,Installed 175 diffusers on floor 1. Passed QC inspection. Inspections needed: rough-in Friday.,5,Rain,59,56
PRJ-2024-001,8b7e5b11,2024-05-15,J. Martinez,Coordination Note,TAB contractor on site - balancing exhaust system. Initial readings: flow low on 3 boxes. Adjustments: VFD reprogramming.,5,Cloudy,59,40
PRJ-2024-001,b01b4199,2024-05-16,M. Chen,Safety Log,Installed 61 diffusers on floor 6. Minor punch items noted. Inspections needed: none.,5,Cold,89,48
PRJ-2024-001,e2dd9341,2024-05-17,R. Williams,Issue Log,Met with plumbing foreman re: coordination. Agreed on sequence for ceiling close-in. Action items: FP to adjust sprinkler head locations,4,Clear,63,55
PRJ-2024-001,123f7e60,2024-05-20,R. Williams,Issue Log,Material issue encountered: sprinkler head conflicts with diffuser at B-7. Resolution: Resolved on site with GC. Impact: cost impact TBD.,3,Clear,58,58
PRJ-2024-001,f6adb793,2024-05-22,K. Thompson,Safety Log,TAB contractor on site - balancing exhaust system. Initial readings: flow low on 3 boxes. Adjustments: damper repositioning.,1,Cloudy,81,73
PRJ-2024-001,7a790268,2024-05-23,J. Martinez,Inspection Note,Safety meeting held at start of shift - topic: ladder safety. All PPE verified. Continued ductwork installation per plan.,4,Hot,68,58
