project_id,log_id,date,employee_id,role,sov_line_id,hours_st,hours_ot,hourly_rate,burden_multiplier,work_area,cost_code
PRJ-2024-001,11a98032,2024-03-27,EMP-4598,Journeyman Pipefitter,PRJ-2024-001-SOV-01,8,0,74.5,1.42,Floor 6,1
PRJ-2024-001,e536c85d,2024-03-27,EMP-4752,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,0,38.0,1.38,Floor 1,2
PRJ-2024-001,fdaa7cd8,2024-03-28,EMP-8517,Insulator,PRJ-2024-001-SOV-02,8,0,58.0,1.4,Floor 2,2
PRJ-2024-001,60d3722c,2024-03-28,EMP-8019,Journeyman Pipefitter,PRJ-2024-001-SOV-02,8,4,74.5,1.42,Floor 5,2
PRJ-2024-001,e097453d,2024-03-28,EMP-3266,Foreman,PRJ-2024-001-SOV-02,8,0,85.5,1.42,Floor 5,2
PRJ-2024-001,9089c8ae,2024-03-28,EMP-2796,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,2,72.0,1.42,Floor 2,2
PRJ-2024-001,57237d40,2024-03-29,EMP-9669,Insulator,PRJ-2024-001-SOV-02,8,0,58.0,1.4,Floor 3,2
PRJ-2024-001,cae57b3d,2024-03-29,EMP-9797,Apprentice 2nd Year,PRJ-2024-001-SOV-01,8,0,38.0,1.38,Floor 3,1
PRJ-2024-001,7a28a385,2024-03-29,EMP-3591,Foreman,PRJ-2024-001-SOV-02,8,4,85.5,1.42,Floor 4,2
PRJ-2024-001,b21814cf,2024-04-01,EMP-5889,Apprentice 2nd Year,PRJ-2024-001-SOV-01,8,0,38.0,1.38,Floor 6,1
PRJ-2024-001,18dc4ab4,2024-04-01,EMP-9837,Helper/Laborer,PRJ-2024-001-SOV-01,8,0,32.0,1.35,Floor 5,1
PRJ-2024-001,9e7e1a9d,2024-04-02,EMP-6038,Controls Technician,PRJ-2024-001-SOV-01,8,4,68.0,1.4,Floor 2,1
PRJ-2024-001,0ffe8eb8,2024-04-02,EMP-2290,Apprentice 4th Year,PRJ-2024-001-SOV-01,8,0,52.0,1.38,Floor 1,1
PRJ-2024-001,475679c1,2024-04-03,EMP-9645,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,0,72.0,1.42,Floor 5,2
PRJ-2024-001,c0167534,2024-04-03,EMP-4295,Insulator,PRJ-2024-001-SOV-02,8,0,58.0,1.4,Floor 6,2
PRJ-2024-001,caf62f5e,2024-04-03,EMP-7118,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,0,38.0,1.38,Floor 4,2
PRJ-2024-001,0f29cf8a,2024-04-03,EMP-2049,Helper/Laborer,PRJ-2024-001-SOV-02,8,2,32.0,1.35,Floor 3,2
PRJ-2024-001,c682011c,2024-04-03,EMP-4608,Controls Technician,PRJ-2024-001-SOV-01,8,0,68.0,1.4,Floor 1,1
PRJ-2024-001,f6d84322,2024-04-04,EMP-2160,Foreman,PRJ-2024-001-SOV-01,8,0,85.5,1.42,Floor 5,1
PRJ-2024-001,32d07458,2024-04-04,EMP-9834,Journeyman Sheet Metal,PRJ-2024-001-SOV-01,8,0,72.0,1.42,Floor 2,1
PRJ-2024-001,0f9828c6,2024-04-05,EMP-6804,Apprentice 4th Year,PRJ-2024-001-SOV-01,8,4,52.0,1.38,Floor 4,1
PRJ-2024-001,47ed4e32,2024-04-05,EMP-2612,Insulator,PRJ-2024-001-SOV-02,8,0,58.0,1.4,Floor 1,2
PRJ-2024-001,8c7d5526,2024-04-05,EMP-2790,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 2,2
PRJ-2024-001,55c53bd2,2024-04-05,EMP-7912,Controls Technician,PRJ-2024-001-SOV-01,8,0,68.0,1.4,Floor 2,1
PRJ-2024-001,c3312718,2024-04-05,EMP-2235,Journeyman Sheet Metal,PRJ-2024-001-SOV-02,8,0,72.0,1.42,Floor 4,2
PRJ-2024-001,568fa300,2024-04-08,EMP-4872,Foreman,PRJ-2024-001-SOV-01,8,0,85.5,1.42,Floor 2,1
PRJ-2024-001,90035408,2024-04-08,EMP-7570,Controls Technician,PRJ-2024-001-SOV-02,8,0,68.0,1.4,Floor 1,2
PRJ-2024-001,4b110588,2024-04-09,EMP-5673,Insulator,PRJ-2024-001-SOV-02,8,0,58.0,1.4,Floor 4,2
PRJ-2024-001,ef021fe1,2024-04-09,EMP-1958,Foreman,PRJ-2024-001-SOV-02,8,0,85.5,1.42,Floor 5,2
PRJ-2024-001,d7a62f0a,2024-04-09,EMP-8811,Apprentice 4th Year,PRJ-2024-001-SOV-01,10,0,52.0,1.38,Floor 5,1
PRJ-2024-001,76b6c9bd,2024-04-10,EMP-4853,Foreman,PRJ-2024-001-SOV-01,8,2,85.5,1.42,Floor 4,1
PRJ-2024-001,83bf80bd,2024-04-10,EMP-1651,Apprentice 2nd Year,PRJ-2024-001-SOV-01,8,0,38.0,1.38,Floor 5,1
PRJ-2024-001,e9f97e8c,2024-04-10,EMP-9565,Helper/Laborer,PRJ-2024-001-SOV-01,8,0,32.0,1.35,Floor 3,1
PRJ-2024-001,3ca4622e,2024-04-11,EMP-5915,Apprentice 4th Year,PRJ-2024-001-SOV-01,8,0,52.0,1.38,Floor 4,1
PRJ-2024-001,cd9868f9,2024-04-11,EMP-1152,Controls Technician,PRJ-2024-001-SOV-02,8,0,68.0,1.4,Floor 4,2
PRJ-2024-001,97061836,2024-04-11,EMP-9288,Insulator,PRJ-2024-001-SOV-01,8,2,58.0,1.4,Floor 3,1
PRJ-2024-001,f58fa5b9,2024-04-11,EMP-5002,Journeyman Pipefitter,PRJ-2024-001-SOV-01,8,0,74.5,1.42,Floor 3,1
PRJ-2024-001,34daa964,2024-04-12,EMP-2697,Journeyman Pipefitter,PRJ-2024-001-SOV-01,8,0,74.5,1.42,Floor 2,1
PRJ-2024-001,d47e75b9,2024-04-12,EMP-3546,Apprentice 4th Year,PRJ-2024-001-SOV-02,8,2,52.0,1.38,Floor 3,2
PRJ-2024-001,e9437ca5,2024-04-12,EMP-4335,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,0,38.0,1.38,Floor 6,2
PRJ-2024-001,2dc30b3b,2024-04-12,EMP-1832,Helper/Laborer,PRJ-2024-001-SOV-02,8,0,32.0,1.35,Floor 1,2
PRJ-2024-001,7fe3153e,2024-04-15,EMP-8007,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,0,38.0,1.38,Floor 5,2
PRJ-2024-001,0337f4a2,2024-04-15,EMP-9938,Foreman,PRJ-2024-001-SOV-01,8,2,85.5,1.42,Floor 1,1
PRJ-2024-001,f6a1dd1f,2024-04-15,EMP-3088,Insulator,PRJ-2024-001-SOV-02,8,0,58.0,1.4,Floor 1,2
PRJ-2024-001,1208a39c,2024-04-15,EMP-1653,Journeyman Pipefitter,PRJ-2024-001-SOV-02,8,0,74.5,1.42,Floor 3,2
PRJ-2024-001,671b94f0,2024-04-15,EMP-6794,Journeyman Sheet Metal,PRJ-2024-001-SOV-01,8,0,72.0,1.42,Floor 5,1
PRJ-2024-001,fa84e92f,2024-04-16,EMP-7745,Journeyman Pipefitter,PRJ-2024-001-SOV-01,8,0,74.5,1.42,Floor 6,1
PRJ-2024-001,5d4237c2,2024-04-16,EMP-2771,Journeyman Sheet Metal,PRJ-2024-001-SOV-01,8,0,72.0,1.42,Floor 4,1
PRJ-2024-001,26d7d945,2024-04-16,EMP-8541,Insulator,PRJ-2024-001-SOV-01,8,0,58.0,1.4,Floor 3,1
PRJ-2024-001,72e5f5a3,2024-04-16,EMP-4652,Controls Technician,PRJ-2024-001-SOV-02,8,0,68.0,1.4,Floor 1,2
PRJ-2024-001,0001e0d9,2024-04-16,EMP-2137,Apprentice 4th Year,PRJ-2024-001-SOV-01,8,0,52.0,1.38,Floor 3,1
PRJ-2024-001,d20610c8,2024-04-17,EMP-3925,Insulator,PRJ-2024-001-SOV-01,8,4,58.0,1.4,Floor 5,1
PRJ-2024-001,2966c367,2024-04-17,EMP-6663,Controls Technician,PRJ-2024-001-SOV-02,8,4,68.0,1.4,Floor 6,2
PRJ-2024-001,225c2afd,2024-04-17,EMP-2894,Apprentice 2nd Year,PRJ-2024-001-SOV-02,8,0,38.0,1.38,Floor 4,2
PRJ-2024-001,d29875cd,2024-04-17,EMP-1027,Journeyman Pipefitter,PRJ-2024-001-SOV-01,8,0,74.5,1.42,Floor 5,1
PRJ-2024-001,8f23f7f2,2024-04-18,EMP-3041,Controls Technician,PRJ-2024-001-SOV-02,8,0,68.0,1.4,Floor 6,2
PRJ-2024-001,99e73e07,2024-04-18,EMP-6344,Apprentice 4th Year,PRJ-2024-001-SOV-02,8,0,52.0,1.38,Floor 4,2
PRJ-2024-001,1dbd4079,2024-04-18,EMP-7211,Foreman,PRJ-2024-001-SOV-02,8,0,85.5,1.42,Floor 6,2
PRJ-2024-001,ac5cd91a,2024-04-19,EMP-6279,Apprentice 2nd Year,PRJ-2024-001-SOV-01,8,0,38.0,1.38,Floor 4,1
PRJ-2024-001,53151f3d,2024-04-19,EMP-8752,Apprentice 4th Year,PRJ-2024-001-SOV-02,8,0,52.0,1.38,Floor 6,2
PRJ-2024-001,612f6459,2024-04-19,EMP-6491,Helper/Laborer,PRJ-2024-001-SOV-01,8,0,32.0,1.35,Floor 1,1
PRJ-2024-001,ff21bb6b,2024-04-22,EMP-8784,Apprentice 2nd Year,PRJ-2024-001-SOV-01,8,2,38.0,1.38,Floor 5,1
PRJ-2024-001,7fbbb3a2,2024-04-22,EMP-4185,Journeyman Sheet Metal,PRJ-2024-001-SOV-01,8,0,72.0,1.42,Floor 6,1
