project_id,rfi_number,date_submitted,subject,submitted_by,assigned_to,priority,status,date_required,date_responded,response_summary,cost_impact,schedule_impact
PRJ-2024-001,RFI-004,2024-04-19,Seismic bracing requirements for equipment over 500 lbs,K. Thompson - Foreman,Structural Engineer,Medium,Closed,2024-05-07,2024-04-29,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-045,2024-04-26,Thermostat location conflicts with furniture layout,K. Thompson - Foreman,Structural Engineer,Low,Closed,2024-05-05,2024-04-29,Approved as submitted.,True,False
PRJ-2024-001,RFI-065,2024-04-29,"Structural penetration approval required at Floor 5, Grid D-2",J. Martinez - Project Manager,Structural Engineer,High,Closed,2024-05-13,2024-05-06,Approved as submitted.,False,False
PRJ-2024-001,RFI-014,2024-05-05,Control sequence clarification for CHW Loop,R. Williams - Engineer,Owner,Low,Closed,2024-05-18,2024-05-15,Coordinate with electrical contractor.,True,False
PRJ-2024-001,RFI-083,2024-05-10,"Existing conditions differ from drawings at Floor 4, Grid C-3",K. Thompson - Foreman,Structural Engineer,Low,Closed,2024-05-28,2024-05-24,Coordinate with plumbing contractor.,True,False
PRJ-2024-001,RFI-078,2024-05-11,Insulation spec clarification for exterior application,J. Martinez - Project Manager,Owner,Medium,Closed,2024-05-19,2024-05-16,Revise per attached markup.,False,False
PRJ-2024-001,RFI-080,2024-05-21,Fire damper location verification needed,K. Thompson - Foreman,Architect,Medium,Closed,2024-06-05,2024-05-31,Revise per attached markup.,False,False
PRJ-2024-001,RFI-034,2024-05-23,"Existing conditions differ from drawings at Floor 1, Grid F-3",R. Williams - Engineer,MEP Engineer,Medium,Closed,2024-06-10,2024-06-02,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-051,2024-06-01,Refrigerant piping routing through mechanical room - approval needed,K. Thompson - Foreman,MEP Engineer,Medium,Closed,2024-06-16,2024-06-04,Proceed as noted in attached sketch.,True,False
PRJ-2024-001,RFI-017,2024-06-07,"Pipe sleeve size discrepancy at Floor 3, Grid B-3",J. Martinez - Project Manager,Owner,Critical,Closed,2024-06-14,2024-06-12,Refer to ASI-5 for clarification.,False,False
PRJ-2024-001,RFI-060,2024-06-11,"Pipe sleeve size discrepancy at Floor 3, Grid H-6",R. Williams - Engineer,Structural Engineer,Low,Closed,2024-07-02,2024-06-18,Revise per attached markup.,False,False
PRJ-2024-001,RFI-053,2024-06-22,"Ductwork routing conflicts with beam at elevation +12'-0""",J. Martinez - Project Manager,MEP Engineer,Critical,Closed,2024-07-05,2024-06-27,Approved as submitted.,True,False
PRJ-2024-001,RFI-070,2024-06-24,Access panel requirements for concealed valves,R. Williams - Engineer,MEP Engineer,High,Pending Response,2024-07-01,,,False,False
PRJ-2024-001,RFI-036,2024-06-25,Insulation spec clarification for exterior application,K. Thompson - Foreman,Structural Engineer,Medium,Closed,2024-07-09,2024-07-05,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-041,2024-06-27,Clarification needed on diffuser layout for Room 382,K. Thompson - Foreman,Owner,High,Closed,2024-07-04,2024-07-04,Coordinate with plumbing contractor.,False,False
PRJ-2024-001,RFI-052,2024-06-28,Clarification needed on diffuser layout for Room 443,J. Martinez - Project Manager,Owner,Medium,Closed,2024-07-15,2024-07-05,Revise per attached markup.,False,False
PRJ-2024-001,RFI-075,2024-06-30,VAV box sizing appears undersized for zone CFM,R. Williams - Engineer,MEP Engineer,Low,Closed,2024-07-11,2024-07-03,Refer to ASI-2 for clarification.,True,False
PRJ-2024-001,RFI-062,2024-07-02,Seismic bracing requirements for equipment over 1000 lbs,R. Williams - Engineer,Structural Engineer,Medium,Closed,2024-07-15,2024-07-07,Coordinate with structural contractor.,True,False
PRJ-2024-001,RFI-026,2024-07-11,Fire damper location verification needed,R. Williams - Engineer,Architect,Critical,Closed,2024-08-01,2024-07-18,Refer to ASI-5 for clarification.,False,False
PRJ-2024-001,RFI-074,2024-07-13,Thermostat location conflicts with furniture layout,K. Thompson - Foreman,Structural Engineer,Medium,Closed,2024-07-24,2024-07-16,Coordinate with electrical contractor.,True,False
PRJ-2024-001,RFI-003,2024-07-15,Coordination conflict with electrical conduit at grid B-7,J. Martinez - Project Manager,Structural Engineer,Medium,Closed,2024-07-23,2024-07-20,Coordinate with structural contractor.,False,False
PRJ-2024-001,RFI-073,2024-07-20,Access panel requirements for concealed valves,J. Martinez - Project Manager,Structural Engineer,Critical,Closed,2024-08-06,2024-08-03,Coordinate with electrical contractor.,True,False
PRJ-2024-001,RFI-031,2024-07-21,Insulation spec clarification for exterior application,R. Williams - Engineer,Architect,High,Closed,2024-07-28,2024-07-26,Refer to ASI-15 for clarification.,False,False
PRJ-2024-001,RFI-063,2024-07-22,Fire damper location verification needed,J. Martinez - Project Manager,Structural Engineer,High,Closed,2024-08-08,2024-07-27,Proceed as noted in attached sketch.,False,False
PRJ-2024-001,RFI-068,2024-08-01,"Pipe sleeve size discrepancy at Floor 5, Grid A-2",R. Williams - Engineer,Architect,High,Closed,2024-08-09,2024-08-04,Refer to ASI-7 for clarification.,False,False
PRJ-2024-001,RFI-043,2024-08-07,Equipment access clearance insufficient per spec,J. Martinez - Project Manager,Architect,Low,Closed,2024-08-19,2024-08-14,Approved as submitted.,False,True
PRJ-2024-001,RFI-044,2024-08-25,Thermostat location conflicts with furniture layout,J. Martinez - Project Manager,Owner,Critical,Closed,2024-09-09,2024-09-04,Revise per attached markup.,False,False
PRJ-2024-001,RFI-012,2024-08-28,Thermostat location conflicts with furniture layout,R. Williams - Engineer,MEP Engineer,Critical,Closed,2024-09-06,2024-09-18,Coordinate with plumbing contractor.,False,True
PRJ-2024-001,RFI-054,2024-08-29,Refrigerant piping routing through mechanical room - approval needed,K. Thompson - Foreman,Architect,Medium,Closed,2024-09-16,2024-09-03,Refer to ASI-19 for clarification.,True,True
PRJ-2024-001,RFI-077,2024-08-30,"Ductwork routing conflicts with beam at elevation +44'-0""",R. Williams - Engineer,Structural Engineer,Medium,Closed,2024-09-15,2024-09-06,Coordinate with structural contractor.,False,True
PRJ-2024-001,RFI-015,2024-09-01,"Pipe sleeve size discrepancy at Floor 1, Grid G-6",R. Williams - Engineer,Owner,Critical,Closed,2024-09-13,2024-09-08,Coordinate with structural contractor.,False,False
PRJ-2024-001,RFI-022,2024-09-07,"Existing conditions differ from drawings at Floor 1, Grid F-9",K. Thompson - Foreman,Architect,Medium,Closed,2024-09-27,2024-09-17,Proceed as noted in attached sketch.,False,True
PRJ-2024-001,RFI-032,2024-09-07,"Structural penetration approval required at Floor 2, Grid D-5",K. Thompson - Foreman,Architect,Medium,Closed,2024-09-19,2024-09-14,Revise per attached markup.,False,False
PRJ-2024-001,RFI-011,2024-09-17,Insulation spec clarification for exterior application,K. Thompson - Foreman,Architect,Low,Closed,2024-09-25,2024-09-27,Revise per attached markup.,False,False
PRJ-2024-001,RFI-038,2024-09-21,Refrigerant piping routing through ceiling plenum - approval needed,J. Martinez - Project Manager,MEP Engineer,Medium,Closed,2024-09-29,2024-09-28,Approved as submitted.,False,False
