project_id,sov_line_id,estimated_labor_hours,estimated_labor_cost,estimated_material_cost,estimated_equipment_cost,estimated_sub_cost,productivity_factor,key_assumptions
PRJ-2024-001,PRJ-2024-001-SOV-01,1850,127450,83100,0,0,1.0,Clear site access; no coordination delays; standard PM staffing
PRJ-2024-001,PRJ-2024-001-SOV-02,680,48200,24150,0,0,1.0,Submittals prepared in-house; standard review cycles
PRJ-2024-001,PRJ-2024-001-SOV-03,2420,189500,96450,0,0,0.85,70% shop fabrication; 30% field fab; standard material availability
PRJ-2024-001,PRJ-2024-001-SOV-04,3850,265400,108700,0,0,0.80,Productivity assumes 70% in accessible ceiling; 30% open areas
PRJ-2024-001,PRJ-2024-001-SOV-05,3200,229800,95400,0,0,0.85,Standard pipe routing; minimal rework expected
PRJ-2024-001,PRJ-2024-001-SOV-06,2100,158100,55350,0,0,0.90,Refrigerant lines prefab where possible
PRJ-2024-001,PRJ-2024-001-SOV-07,1650,106450,435800,0,0,1.0,Equipment setting only; rigging included; standard lead times
PRJ-2024-001,PRJ-2024-001-SOV-08,1480,100700,268600,0,0,1.0,Equipment quotes firm; freight included
PRJ-2024-001,PRJ-2024-001-SOV-09,720,47250,187650,0,0,1.0,Terminal units set and connect; no controls programming
PRJ-2024-001,PRJ-2024-001-SOV-10,2280,164350,97500,0,0,0.95,DDC panels shop-programmed; field wiring and termination
PRJ-2024-001,PRJ-2024-001-SOV-11,1650,119900,67550,0,0,0.90,Programming based on standard sequences; 2 weeks commissioning
PRJ-2024-001,PRJ-2024-001-SOV-12,1850,135150,60900,0,0,0.85,Insulation after substantial duct/pipe completion
PRJ-2024-001,PRJ-2024-001-SOV-13,0,0,0,0,78540,1.0,TAB subcontractor; 3 weeks duration; standard rates
PRJ-2024-001,PRJ-2024-001-SOV-14,680,47800,26350,0,0,1.0,Startup by equipment vendors; HVAC support only
PRJ-2024-001,PRJ-2024-001-SOV-15,420,29600,16900,0,0,1.0,O&M manuals compiled; owner training 2 days
PRJ-2024-002,PRJ-2024-002-SOV-01,2100,151950,87700,0,0,1.0,24-month duration; laydown space available
PRJ-2024-002,PRJ-2024-002-SOV-02,920,63000,36050,0,0,1.0,Long-lead equipment submittals critical path
PRJ-2024-002,PRJ-2024-002-SOV-03,2450,169100,117100,0,0,0.85,High-rise distribution; exterior craning
PRJ-2024-002,PRJ-2024-002-SOV-04,3200,225700,144700,0,0,0.80,Core floors first; tenant floors phased
PRJ-2024-002,PRJ-2024-002-SOV-05,2680,191400,94200,0,0,0.85,Chilled water risers; coordination with structure
PRJ-2024-002,PRJ-2024-002-SOV-06,1850,132700,80800,0,0,0.90,VRF refrigerant distribution; prefab headers
PRJ-2024-002,PRJ-2024-002-SOV-07,1780,123650,356000,0,0,1.0,Rooftop unit installation; crane days included
PRJ-2024-002,PRJ-2024-002-SOV-08,1180,80650,234600,0,0,1.0,Central plant equipment; rigging plan required
PRJ-2024-002,PRJ-2024-002-SOV-09,880,61050,186400,0,0,1.0,Floor-by-floor VAV installation
PRJ-2024-002,PRJ-2024-002-SOV-10,1680,120600,50300,0,0,0.95,BAS integration with building management system
PRJ-2024-002,PRJ-2024-002-SOV-11,920,63000,47650,0,0,0.90,Phased commissioning by floor
PRJ-2024-002,PRJ-2024-002-SOV-12,1320,91850,46600,0,0,0.85,Coordination with ceiling contractor critical
PRJ-2024-002,PRJ-2024-002-SOV-13,0,0,0,0,61850,1.0,TAB subcontractor; phased testing; 6 weeks total
PRJ-2024-002,PRJ-2024-002-SOV-14,520,36750,17150,0,0,1.0,Equipment startup sequenced with occupancy
PRJ-2024-002,PRJ-2024-002-SOV-15,420,29450,12400,0,0,1.0,As-builts and closeout by floor
PRJ-2024-003,PRJ-2024-003-SOV-01,340,23700,13600,0,0,1.0,Single PM; superintendent 50%; standard duration
PRJ-2024-003,PRJ-2024-003-SOV-02,140,9850,4140,0,0,1.0,K-12 submittal requirements; state approvals
PRJ-2024-003,PRJ-2024-003-SOV-03,520,36950,22300,0,0,0.85,Shop fabrication; standard duct material
PRJ-2024-003,PRJ-2024-003-SOV-04,720,50400,18600,0,0,0.85,Single-story; accessible work; standard crew productivity
PRJ-2024-003,PRJ-2024-003-SOV-05,480,33600,14150,0,0,0.85,Hydronic piping for unit ventilators; standard routing
PRJ-2024-003,PRJ-2024-003-SOV-06,300,21050,13150,0,0,0.90,Minimal refrigerant piping; split systems only
